Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Luo M.M., Chea S.","23668238700;23666471200;","Wiki use for knowledge integration and learning: A three tier conceptualization",2020,"Computers and Education","154",,"103920","","",,8,"10.1016/j.compedu.2020.103920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084407737&doi=10.1016%2fj.compedu.2020.103920&partnerID=40&md5=74fcab60bac037c18b7a1496f36579b1","This study was conducted to explain the factors influencing wiki-mediated learning by integrating learner characteristics, environmental factors, and the knowledge-building function of teamwork on a wiki platform by using two theoretical tracks from the literature on wiki: adoption continuance and knowledge management in collaborative teams. An online survey (self-report study) was administered to undergraduate students in three sections of an introductory IT concepts class at a northeastern U.S. university. The results indicated that social presence is the most significant factor because it is not only related to both perceived usefulness and team cognitive elaboration but also directly related to perceived learning. Social presence is a construct from the Transactional distance theory and Computer-Mediated Communication that have been previously applied in both theoretical tracks as environmental factors for effective online learning. In theory, by adding relevant learner characteristics constructs, an environmental factor, and team knowledge management constructs in an integrated model of learning in the wiki for collaborative teamwork context, we bridge a major gap in wiki-related research for education. In practice, we conclude that learners in a wiki-based group project environment must perceive presence through social interaction with their teammates, classmates, teaching assistants, and instructors to improve the learning experience and outcome. © 2020","Elsevier Ltd",03601315,,COMED,"Comput Educ",Article,"Final","",Scopus,2-s2.0-85084407737
"Eraslan S., Kopec-Harding K., Jay C., Embury S.M., Haines R., Cortés Ríos J.C., Crowther P.","55785840000;55751152100;16642730800;7007099773;8930723100;36631916800;57189706027;","Integrating GitLab metrics into coursework consultation sessions in a software engineering course",2020,"Journal of Systems and Software","167",,"110613","","",,2,"10.1016/j.jss.2020.110613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084171536&doi=10.1016%2fj.jss.2020.110613&partnerID=40&md5=2e071c4a7ed30bc6ef99a7caf87b4453","Software developers use version control systems for collaborative coding. These systems are integrated into several software development platforms (including GitLab and GitHub) which support additional software engineering functionalities. Using these platforms in an educational context allows students to gain skills relevant to industry, whilst providing a means of keeping track of their activities. In this paper, we investigate the effect of presenting teams of students with GitLab metrics about their performance at coursework consultation sessions (checkpoint sessions), with a particular focus on the number of issues assigned and completed, and the number of commits made to the repository. A comparative analysis of project marks in two consecutive academic years indicates that these checkpoint sessions may lead to better student outcomes. An interview study with students and teaching assistants identified viewing the GitLab metrics in the checkpoints as an opportunity to see the relative contributions of team members and address resulting issues, and as a catalyst for improving engagement with the team project. The study also identified drawbacks of using the metrics too simplistically, and suggested that it was important to consider the quality and amount of written code, as well as the number of times someone committed to the repository. © 2020 Elsevier Inc.","Elsevier Inc.",01641212,,JSSOD,"J Syst Software",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084171536
"Burch M.","36927991800;","The Importance of Requirements Engineering for Teaching Large Visualization Courses",2020,"Proceedings - 4th International Workshop on Learning from Other Disciplines for Requirements Engineering, D4RE 2020",,,"9224526","6","10",,,"10.1109/D4RE51199.2020.00007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096953782&doi=10.1109%2fD4RE51199.2020.00007&partnerID=40&md5=5607081c64699f4ff610c7a2377eb022","Teaching visualization courses typically requires some kind of small-scale software project in which the students collaboratively create a software product with the goal to practically apply visualization concepts. This software focuses on providing an interactive solution to a given dataset scenario supporting the detection of insights based on users' tasks at hand. However, while creating such a tool several software development stages have to be taken into account, with requirements engineering as one of the major repeating stages. In this paper we describe three different visualization project-based teaching strategies TSH, TSM, and TSL depending on the degree of freedom for the student groups. Moreover, they differ in the way how requirements engineering is an inherent ingredient in order to design, implement, test, deploy, evaluate, maintain, and evolve a certain software product. We experienced with more than 1,000 students in a total of 9 courses running over 8 weeks each, in approximately 2 years of time. All of the three teaching strategies have their own benefits and drawbacks, however, requirements engineering is considered more or less important, mostly depending on the degree of freedom the student project groups got during the courses. As a major outcome we consider the courses successful, not only because we learned the importance of requirements engineering for teaching project-based visualization courses, but also because many students passed the courses, the student evaluation was quite positive, and the written reports showed that they had an immense learning effect. © 2020 IEEE.","Institute of Electrical and Electronics Engineers Inc.",,9781728183442,,"Proc. - Int. Workshop Learn. Other Discip. Requir. Eng., D4RE",Conference Paper,"Final","",Scopus,2-s2.0-85096953782
"Spring R.","55960385400;","Can video-creation project work affect students’ oral proficiency? An analysis of fluency, complexity and accuracy",2020,"TESL-EJ","24","2",,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096542863&partnerID=40&md5=e54ef10ba377572fa92a194f2c37b0f3","This study reports on how project-based language learning in which L1 Japanese EFL learners created short videos affected L2 oral proficiency. Students took short speaking tests before and after the class, and the fluency, complexity and accuracy of the pre- and posttests were measured to see which, if any, of these three aspects of proficiency would show improvement. The results indicated that participants made marginal progress in fluency, reducing their number of pauses and increasing their raw speech rate slightly, and significantly improved their syntactic complexity (p<.001, d=1.1) and both syntactic (p=.04, d=.48) and pronunciation accuracy (p=.002, d=.75), but did not seem to make gains in lexical complexity. Overall, the results suggest that project-based learning can result in clear improvements in oral proficiency, meaning that it can be appropriately implemented in oral communication classes, but that the greatest gains are likely to be made in accuracy and syntactic complexity. However, it is still unclear whether different types of project settings will affect L2 oral proficiency in the same way. © 2020 Editorial Board TESL - EJ. All rights reserved.","Editorial Board TESL - EJ",10724303,,,"TESL-EJ",Article,"Final","",Scopus,2-s2.0-85096542863
"San S.M., Widoretno S., Ariyanto J., Sajidan, Dwiastuti S.","57218095052;57195056423;57202218357;24464557700;57200101885;","Increase the hierarchy concept map score through the modification in the 2nd stage of problem-based learning",2020,"Journal of Physics: Conference Series","1567","2","022057","","",,,"10.1088/1742-6596/1567/2/022057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087886377&doi=10.1088%2f1742-6596%2f1567%2f2%2f022057&partnerID=40&md5=5421487a3c105afd5751ab3cf7f42143","The research aimed to calculate the increase of student's hierarchy concept map (CM) scores through the modification of problem analysis and learning issue (2nd stage of problem-based learning (PBL)) using question instructional techniques. The type of research is classroom action. Research subjects were 36 X grade students. Research procedures: planning, action, observation, and reflection. Research data is the percentage of hierarchy CM score which is calculated based on the Expert CM score according to the material in each cycle. Data validity is done by confirming the percentage of hierarchy CM score with the result of interviews and documentation of the learning process in each cycle. The analysis techniques use reduction, presentation, and drawing a conclusion. The results show that the average increase in hierarchy percentage scores from pre-cycles to cycle I was 25% and cycle I to II was 38%. The number of students who experienced an increase in percentage hierarchy scores from pre-cycle to cycle I was 83% and cycle I to II by 90%, thus the modification of instructional techniques in problem analysis and learning issues PBL increased the students' CM hierarchy score. © Published under licence by IOP Publishing Ltd.","Institute of Physics Publishing",17426588,,,"J. Phys. Conf. Ser.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85087886377
"Annegowda G.K., Mohana Lakshmi J.","57221634717;57193774516;","Student centric pragmatic approach to impart concepts of python applications programming",2020,"Journal of Engineering Education Transformations","34","1",,"52","60",,,"10.16920/jeet/2020/v34i1/151300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099640820&doi=10.16920%2fjeet%2f2020%2fv34i1%2f151300&partnerID=40&md5=606285f0742b4f4587572922dd7a83d3","Project Based Learning (PBL) typically needs critical thinking, problem solving capability, collaboration, and different forms of communication. To cope-up with the technological standards and create superior work, it is essential for students to do significantly more than memorising the shared information. They need to use superior intellectual skills and learn to work in team. To ensure our students are engaging in quality Project Based Learning, department of Computer Science and Engineering, Malnad College of Engineering has attempted a framework to learn a programming course in a deeper way by exploring local problems and challenges. Python programming typically being a programming language needed an alternative teaching methodology to impart students the necessary technical skills and problem-solving capability. Hence, a systematic approach motivating the students to understand the syntax and apply the same to provide simple solutions to local problems was adopted. The approach started by assigning certain topics of the course to the students. These topics were presented to their peers at the end of second month of the semester. This improved active learning by the students. The syntax and contents facilitated by the students helped them to come out with excellent solutions to local problems inthe form of projects. The process focussed much on improving critical thinking, problem solving, communication, team work and better understanding of the concepts among the students. The approach resulted in improved learning abilities of the students and exhibited effective collaborative learning skills. Also, the projects developed provided solutions to the local problems of the society. The success rate of implementation of student-centred approach to impart programming concepts, paved way for following the same approach to teach other programming languages. © 2020, Rajarambapu Institute Of Technology. All rights reserved.","Rajarambapu Institute Of Technology",23492473,,,"J. Eng. Edu. Transform.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85099640820
"Mendoza J.P., Pereira E., Miguel A.J.A., Cordero C.A., Martin A.J., Jimenez P.G., Llamazares A.L., Sanchez J.L.M., Gomez E.S., Calvo J.A.J., Moreno H.G., Miguel M.O., De Toro P.A.R., Sanchez E.R., Poyato R.M.","36144460200;14052639500;57225817267;57194086007;57210860963;57219243974;36632755700;14523072400;6508018795;57199672724;6602243342;56410080500;16425175400;50262952600;55312803400;","Acquisition of transversal skills in university studies through participation in robotics competitions",2020,"Proceedings - 2020 14th Technologies Applied to Electronics Teaching Conference, TAEE 2020",,,"9163701","","",,,"10.1109/TAEE46915.2020.9163701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091853854&doi=10.1109%2fTAEE46915.2020.9163701&partnerID=40&md5=d2b25011c34b1de42337631d86dfe747","The development of a robotics project, in which students and teachers from different areas of knowledge participate, is an opportunity to develop transversal skills in university studies. When this project is motivated by participation in an international robotics contest, such as EUROBOT, the motivation of students is greater. This article presents the organization of the teaching innovation project in which the activity is framed, as well as the successful results after two years of implementation. © 2020 IEEE.","Institute of Electrical and Electronics Engineers Inc.",,9781728167329,,"Proc. - Technol. Appl. Electron. Teach. Conf., TAEE",Conference Paper,"Final","",Scopus,2-s2.0-85091853854
"Luna A., Chong M.","36666915400;57203223499;","A PBL approach for teaching electronics fundamentals by developing robotics projects",2020,"Proceedings - 2020 14th Technologies Applied to Electronics Teaching Conference, TAEE 2020",,,"9163791","","",,3,"10.1109/TAEE46915.2020.9163791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091846570&doi=10.1109%2fTAEE46915.2020.9163791&partnerID=40&md5=49fb37e369dcb7808620d5bba4240dd4","In this work we present a project-based learning approach to teach basic concepts of electronics to undergraduate students of business and information engineering. In each laboratory session, the students carry out a project using robotics tools and several basic electronics concepts. In this way, students develop skills in electronic circuit design, problem solving and teamwork. Also, the course includes programming in Arduino. The results indicate that learning the fundamentals of electronics through various robotic projects not only motivates students but also allows them to experience and discover the link between physics, technology and engineering. © 2020 IEEE.","Institute of Electrical and Electronics Engineers Inc.",,9781728167329,,"Proc. - Technol. Appl. Electron. Teach. Conf., TAEE",Conference Paper,"Final","",Scopus,2-s2.0-85091846570
"Halimah L., Marwati I., Abdillah F.","57208124840;57217866724;57211269120;","Fostering students' creativity through lapbooking: A case study in an indonesian primary school context",2020,"Universal Journal of Educational Research","8","7",,"2969","2979",,,"10.13189/ujer.2020.080725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087770069&doi=10.13189%2fujer.2020.080725&partnerID=40&md5=d95a303deab8036cd2cebd09753a3412","One of the challenges in education in the twenty-first century is to develop students' creativity. Although, generally speaking, students' creativity can be nurtured and encouraged, and although creativity alone can even be taught, fostering the creativity of elementary school pupils in project-based learning is worth investigation. To fill the gap, the present case study was aimed to investigate how learner creativity in project-based learning can be fostered through an assessment called lapbooking. This study was conducted at the Laboratory Elementary School of the Indonesia University of Education. The study involved a fifth-grade teacher and 24 students aged between 10 and 11 years who voluntarily enrolled to this study. Data were garnered from field notes, journals, interviews, and learning portfolios. Furthermore, a descriptive approach was employed to analyze and interpret the data to make meaning of the research findings. The results of the study showcase that the implementation of project-based learning with lapbooking could challenge the student participants to develop their creativity by exploring and creating interesting projects. Therefore, it can be concluded that lapbooking in project-based learning can foster students' creativity. Copyright © 2020 by authors, all rights reserved.","Horizon Research Publishing",23323205,,,"Univers. J. Edu. Res.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85087770069
"James N., Humez A., Laufenberg P.","57217059242;55366343100;57217058065;","Using Technology to Structure and Scaffold Real World Experiential Learning in Distance Education",2020,"TechTrends","64","4",,"636","645",,6,"10.1007/s11528-020-00515-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085980687&doi=10.1007%2fs11528-020-00515-2&partnerID=40&md5=b1d08abb71b2bf5d91630519468ba441","Team projects allow students to apply their technical skills to a real-world context and build twenty-first century competencies, including teamwork, project management and communication skills. However, the complex challenges that such experiential learning projects present for students and faculty can limit the scale of implementation. This article argues that Virtual Business Projects (VBP), a model of team-based experiential learning where teams of students complete a virtual business project for an industry sponsor, can mitigate these problems by leveraging instructional technology and learning analytics. The VBP model is deployed in multiple universities, which have provided more than 2500 Virtual Business Projects since 2015. We will discuss how innovative technology, embedded in thoughtful learning design, supports experiential learning by taking advantage of features such as customizable scaffolding, automated reflection and feedback loops, and learning analytics. © 2020, The Author(s).","Springer",87563894,,,"TechTrends",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85085980687
"Hegazy T., Mostafa K., Esfahani M.E.","7004341761;57209216449;57210794974;","Hands-On Class Exercise for Efficient Planning and Execution of Modular Construction",2020,"Journal of Civil Engineering Education","146","3","05020002","","",,2,"10.1061/(ASCE)EI.2643-9115.0000012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084656968&doi=10.1061%2f%28ASCE%29EI.2643-9115.0000012&partnerID=40&md5=cd6f30e1f80516beeb081576f624175c","This paper presents a case study of a hands-on exercise to improve students' project management skills on repetitive infrastructure/modular projects. The exercise was to construct a large foam-board model of the University of Waterloo campus, involving over 40 buildings. The exercise design involved training on the integrated life-cycle decisions of a project, including quantity take-off, bidding, repetitive scheduling, assigning workers to single-skill trades, site organization, coordination, progress follow-up, and quality control. Student groups bid against each other in developing least-cost and least-waste execution plans under time and resource constraints. After execution, students gained firsthand experience on reasons for deviations and areas for improvement. Overall the exercise was fun, complemented theoretical concepts, and closely simulated how trades interact. Students also gained a better understanding of the challenges in managing repetitive projects and the role of efficient planning to reduce execution problems. The paper presents the design and implementation of this exercise, discusses its contributions to student learning, and provides guidelines to make hands-on exercises a success, particularly when a large number of participants are involved. © 2020 American Society of Civil Engineers.","American Society of Civil Engineers (ASCE)",26439107,,,"J. Civil Eng. Educ.",Article,"Final","",Scopus,2-s2.0-85084656968
"Zhang J., Zhao C., Li H., Huijser H., Skitmore M.","36449665500;57215876326;57060826600;23967906200;7003387239;","Exploring an Interdisciplinary BIM-Based Joint Capstone Course in Highway Engineering",2020,"Journal of Civil Engineering Education","146","3","05020004","","",,2,"10.1061/(ASCE)EI.2643-9115.0000017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084289843&doi=10.1061%2f%28ASCE%29EI.2643-9115.0000017&partnerID=40&md5=4612a3711fe4154ed4532a4ccb25c5ec","Enhancing students' interdisciplinary design ability in a highway engineering context is important for the development of building information modeling (BIM). This paper proposes a new paradigm for highway engineering and its service areas based on the BIM platform, integrating road, bridge, tunnel, engineering costing; architecture; structure; water supply and drainage; heating and ventilation; and electrical engineering for a senior year capstone course. An overall and breakdown work system is constructed of the joint design process guided by the highway engineering discipline. BIM technology is utilized to integrate the design work content of nine majors, linking the originally separated design stages, and articulating the flow of interoperability information in highway engineering. A case study tests the course, evaluates the students' performance, and identifies improvements in software training, time schedule, technology connection, interoperability issues, as well as how BIM affects teamwork. In applying BIM in an interdisciplinary situation, a visualization tool is used to enrich the body of knowledge of BIM education as it relates to highway engineering. © 2020 American Society of Civil Engineers.","American Society of Civil Engineers (ASCE)",26439107,,,"J. Civil Eng. Educ.",Article,"Final","",Scopus,2-s2.0-85084289843
"Borg M.","37103431600;","Do preparatory programming lab sessions contribute to even work distribution in student teams?",2020,"Proceedings - International Conference on Software Engineering",,,"3390893","254","255",,,"10.1145/3377812.3390893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094126575&doi=10.1145%2f3377812.3390893&partnerID=40&md5=9c8fae1ecbc83d012b50c7cfb23420c4","Unfair work distribution is common in project-based learning with teams of students. One contributing factor is that students are differently skilled developers. To mitigate the differences in a course with group work, we introduced mandatory programming lab sessions. The intervention did not affect the work distribution, showing that more is needed to balance the workload. Contrary to our goal, the intervention was very well received among experienced students, but unpopular with students weak at programming. © 2020 Copyright held by the owner/author(s).","IEEE Computer Society",02705257,9781450371223,PCSED,"Proc Int Conf Software Eng",Conference Paper,"Final","",Scopus,2-s2.0-85094126575
"Schneider J.-G., Eklund P.W., Lee K., Chen F., Cain A., Abdelrazek M.","7404423027;7101693123;35762723800;55714472600;24922997900;56080446200;","Adopting industry agile practices in large-scale capstone education",2020,"Proceedings - International Conference on Software Engineering",,,"3381715","119","129",,9,"10.1145/3377814.3381715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093662330&doi=10.1145%2f3377814.3381715&partnerID=40&md5=96039042093a51e91626c077220c33ac","This paper presents the practice and experience in adopting an agile organizational model for a final-year capstone program in Software Engineering. The model developed is motivated by having real (and developing) software artifacts with incrementally changing team members working on a product-line. This in turn results in more sophisticated capstone student-project outcomes. The model proposed supports student mentoring and promotes, through its internal organization, leadership and personal responsibility. The students are supported by professional software engineers, up-skilling workshops, and academic supervisors who act as a personalized reporting and grading point for the team. The academic supervisors are themselves supported by a tribe leader, a faculty member who assumes overall responsibility for a product-line, and who acts as a report to an external industry client/sponsor. This paper describes the motivation for the capstone model, its adoption, and some preliminary observations. © 2020 IEEE Computer Society. All rights reserved.","IEEE Computer Society",02705257,9781450371247,PCSED,"Proc Int Conf Software Eng",Conference Paper,"Final","",Scopus,2-s2.0-85093662330
"Tubino L., Cain A., Schneider J.-G., Thiruvady D., Fernando N.","36464301700;24922997900;7404423027;6506160827;57193925601;","Authentic individual assessment for team-based software engineering projects",2020,"Proceedings - International Conference on Software Engineering",,,"3381702","71","81",,3,"10.1145/3377814.3381702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093646829&doi=10.1145%2f3377814.3381702&partnerID=40&md5=6cc9ea6530d4ecb5cf7745760d659a6e","In order to give students an authentic learning experience and better prepare them for the life-long learning required in contemporary workplaces, educational institutions increasingly use project-based learning in teams. However, this poses the challenge of developing authentic and equitable assessment criteria that reflect individual contributions in a team-work setting without jeopardizing project outcomes.We present a novel and innovative portfolio-based assessment framework that focuses on qualitative outcomes and ensures that the level of achievement reflects a student's competency across each of the defined learning dimensions, including professional behaviour, teamwork, process and relevant contributions towards project deliverables. In this paper, we present the main motivation behind devising and introducing the framework and also reflect on the educational outcomes and challenges of implementing the framework in the context of two final year Software Engineering project units. © 2020 IEEE Computer Society. All rights reserved.","IEEE Computer Society",02705257,9781450371247,PCSED,"Proc Int Conf Software Eng",Conference Paper,"Final","",Scopus,2-s2.0-85093646829
"Comber E.M., Raeker-Jordan E.A., Roberts K.G., Loppnow M.A., Hudson A., Chung W., Zapanta C.M.","57204464503;57219859285;57218392895;57219849000;57191526876;57219855506;6603200209;","Work in progress: Engineering and industrial design subteams for a multi-disciplinary biomedical engineering design course",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"1583","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095787378&partnerID=40&md5=8cf9d5e6783f1744117b8d34d27fa9cf","Introduction: Biomedical engineers today often work with industrial designers to help them understand unmet needs and generate new healthcare products optimized for intended users [1]. Industrial designers can work alongside engineers as employees within a company or as outsourced consultants [2]. However, few university courses offer students the opportunity to develop a solution to a current problem with scholars outside of their specific disciplines. Previous initiatives at Carnegie Mellon University (CMU) to form multidisciplinary capstone teams with students in the Department of Biomedical Engineering (BME) and students in the School of Design opted to embed a single industrial design (ID) student within a technical group of 3-4 engineers. Although this offered the benefit of multi-disciplinary teams [3], [4], the organizational structure left the ID students' skillsets underutilized. Industrial designers reported in the 2018-2019 academic year that they felt 'useless' when meeting to discuss more technical aspects that [they]¦had no knowledge in. The previous course structure also failed to recapitulate the work dynamic of the workforce where subteams of engineers and industrial designers communicate on an as-needed basis. At specific stages of product development, engineer and ID subteams complete tasks together, while at other times they work independently to generate separate-but-related deliverables [5]. © American Society for Engineering Education 2020.","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095787378
"Chin J.H., Gao Y., Li H., Su M.P., Fowler R.","57219849729;57219859429;57219854874;57195959462;57190816088;","Predicting team project score: It's more about team harmony and less about individual performance",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"1119","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095778572&partnerID=40&md5=c3186374b271710a57e937d93c2e3da5","Team-based assignments and other collaborative learning methods are common in undergraduate engineering programs across the world, and they are especially prevalent in first-year introductory engineering courses as well as final-year capstone projects. Team-based learning has been shown in previous studies to improve students' academic achievement, persistence, intrinsic motivation, and attitude toward subject areas compared to more traditional methods of learning, and it can be a powerful tool for increasing self-efficacy and experience by allowing students to define their own roles on teams. However, despite the literature supporting team-based learning, it is not a universally positive experience for all students, particularly in cases where team difficulties may intensify pre-existing inequities in the classroom. Because students composing a team can come from vastly different academic backgrounds with different levels of experience with engineering, a team's overall performance may be linked to the performance of students on individual assignments. In this paper, we investigate how individual student performance is related to overall student team performance in a first-year engineering design-build-test-communicate course. Furthermore, we investigate the relationship between individual students' ratings of their teams and teammates and the scores earned collectively by the team. Specifically, we analyze student responses to weekly team checks, individual student performance ratings as rated by their teammates, and individual student performance on individual class assignments, and compare these metrics to the overall team grades earned by their respective team. The results suggest a positive, though insignificant, trend between teams with more positive weekly team checks and higher overall team grades. We also find a significant trend between teammates who rate each other highly for 'producing quality work' and earning higher grades on the team project. Furthermore, we find that individual student performance is not significantly correlated with grades earned on the team project. Finally, we observe a negative, though insignificant, trend between teams with a higher standard deviation of individual student exam performances (bigger spread) and overall team grades. That is, teams with more dispersion in exam performance earn lower grades in this sample. © American Society for Engineering Education 2020.","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095778572
"Chen C., Chen Z.","57205767820;8837270900;","Applying slack to help teach computer science and computer engineering courses",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"201","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095773563&partnerID=40&md5=b510a5d0dde205e4b00b3a5a2e66f681","Communication is a key element for classroom teaching and group project management in higher education. In this paper, we describe in detail how an online tool, Slack, helps improve communication and collaboration in courses and group projects at Purdue University Fort Wayne, and thus enhances students' learning. Specifically, we highlight the features in Slack that are helpful in teaching and team projects. In the end-of-semester surveys, the students gave positive feedback on their usage of Slack. We believe that Slack serves as an excellent online tool to enhance communication and collaboration in computer science and computer engineering courses. © American Society for Engineering Education 2020.","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095773563
"Koloutsou-Vakakis S.","6602607774;","Preliminary results from implementing a data driven team project in introductory risk and uncertainty analysis class for sophomore civil and environmental engineering students",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"1121","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095771446&partnerID=40&md5=49954966013a52f583cb0b947e6dd43e",[No abstract available],"American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095771446
"Georgalis G., Marais K.","57493977200;6507783865;","Assessment of project-based learning courses using crowd signals",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"256","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095771427&partnerID=40&md5=afea555e0965daff29f866ed52678a32","Project-based learning (PBL) is a growing component of engineering education in the United States. Its perceived educational value is exemplified by its explicit mention in ABET's Criterion 5, which requires engineering programs to provide a culminating design experience that incorporates engineering standards and multiple constraints. Capstone courses and design-build-test projects allow students to synthesize and apply engineering knowledge, skills, and tools to open-ended design problems. Students work and communicate in teams to complete tasks like generating requirements, and testing and integrating equipment. There appears to be widespread consensus that project-based learning is valuable, but, how well do these projects prepare students for engineering challenges in professional practice? We consider one aspect of professional practice-failure. Despite many improvement efforts by organizations, systems engineering failures continue to occur. Previous research identified a set of common causes for these project failures. Does PBL provide students with opportunities to fail safely, and thereby learn to avoid failure in professional practice? We present here an approach to compare the rates of occurrence of failure causes in student team projects with industry projects. By comparing the occurrence rates, we achieve our first research goal to evaluate whether PBL offers sufficient opportunities of failure to students. Out of the ten failure causes we examined, we found that four are underrepresented in PBL, two of which are fundamentally related to systems engineering practice. Failure causes may be hard to identify without the benefit of hindsight, so, we developed a set of crowd signals that may point to their presence. We observed 18 different student design projects across two semesters. Each week, the students answered a set of questions we developed to measure these crowd signals, while the instructors directly pointed out any instances of the failure causes they observed during the students' efforts. With the availability of such data we built logistic regression models to find correlations between specific crowd signals and the occurrence of a particular failure cause. By interpreting the regression coefficients, we achieve our second research goal to suggest specific improvements that instructors can use to give their students more failure opportunities during PBL. © American Society for Engineering Education 2020.","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095771427
"Yu X., Cutler S., McFadden D.","57219857005;36569950300;57219855590;","Collaborative project-based learning approach to the enculturation of senior engineering students into professional engineer practice of teamwork",2020,"ASEE Annual Conference and Exposition, Conference Proceedings","2020-June",,"343","","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095771223&partnerID=40&md5=f13486e5339302dbb51c61742e3cd433","Working in teams is a vital component within the chemical engineering profession [1]. For senior chemical engineering students, the capstone design course provides an opportunity for students to work in teams to develop their teamwork skills in preparation for their future career. To better emphasize that necessary professional skills, especially teamwork, the Penn State Chemical Engineering capstone design course was redesigned for the 2017-2018 academic year. This paper aims to investigate student perceptions on their teamwork experiences during capstone design yielding insights to further scaffold students in the future. We conducted a questionnaire with both closed- and open-ended items. Descriptive statistics and qualitative coding helped investigate students' perception of the role of teamwork, themes from their reported teamwork experiences, and tensions between the themes. Given the conflicting perspectives on teamwork and problematic experience, conflict resolution strategies were absent from student responses, which we identify as a gap in the student's perceptions of teamwork. Thus, in moving forward, we recommend incorporating conflict resolution into curriculum as a critical part of teamwork. © American Society for Engineering Education 2020.","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85095771223
