"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A living lab for professional skills development in Software Engineering Management at U.Porto","G. M. Gonçalves; R. Meneses; J. P. Faria; R. M. Vidal","Faculdade de Engenharia Universidade do Porto Porto,Portugal; Faculdade de Engenharia Universidade do Porto Porto,Portugal; Faculdade de Engenharia Universidade do Porto Porto,Portugal; Faculdade de Engenharia Universidade do Porto Porto,Portugal","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","1079","1085","Over the past decades, software engineering has reached a level of maturity which entails great challenges in its education. Universities must prepare students to real-life challenges by offering courses to aid students in developing several vital skills which go beyond hard skills (e.g., communication skills and self-management). At the Faculty of Engineering of the University of Porto, a pioneering course, dubbed Project Management Laboratory, offers the proper environment for students to develop such skills by inviting industry to be closely involved in the education of the students. This course integrates practice and theory in a setting close to what the students will face when they move into industry. This paper reports on the experience, results, and benefits of this innovative course.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125099","Problem/Project Based Learning;Engineering Skills;Software Engineering;Education;University;Industry.","Industries;Laboratories;Project management;Psychology;Companies;Software;Reflection","computer science education;educational courses;educational institutions;project management;software engineering","innovative course;living lab;professional skills development;software engineering management;u.Porto;universities;Project Management Laboratory","","","","18","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Team Formation using Character-based Gamification: Effects on Online Teamwork Experience During COVID-19","S. E. Pek; J. H. L. Koh","Nanyang Academy of Fine Arts,Design and Media, School of Art & Design,Singapore,Singapore; Centre Univerisity of Otago,Higher Education Development,Dunedin,New Zealand","2021 16th International Conference on Computer Science & Education (ICCSE)","21 Oct 2021","2021","","","247","252","Due to the ongoing COVID-19 pandemic, higher education institutions have been forced to shut down physical classes and shift to online lessons. This has presented many new challenges for lecturers and students, especially for online interactions and working remotely in teams which is not an uncommon practice in design and media industry. This study investigates how the use of character-based gamification for design team formation can help lecturers to address the problems of teamwork among design and media students as well as the new emerging challenges in online collaborative environments. In this gamified learning intervention, the personality, roles and abilities of students’ chosen game characters were used by the lecturers as references and insights to form teams for collaborative design projects. The data for the study is based on the teamwork experiences of 47 design and media students at a tertiary arts institution in Singapore. These students undertook team projects in no character assigned teams, random characters assigned teams, and characters matched teams assigned by matching students with the personalities, roles, and abilities of their chosen game characters. The results indicate that students’ perception of online teamwork experience was most positive when working in teams matched with game characters. This study contributes recommendations for higher education lecturers on guidelines and procedure for team formation in ways that positively increase teamwork quality, student motivation, and enjoyment in online team projects.","2473-9464","978-1-6654-1468-5","10.1109/ICCSE51940.2021.9569643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569643","team formation;online teamwork experience;character-based gamification;covid-19;home-based learning;design and media","COVID-19;Industries;Art;Pandemics;Education;Games;Media","computer aided instruction;educational institutions;further education;groupware;human factors;serious games (computing);team working","character-based gamification;online teamwork experience;COVID-19 pandemic;higher education institutions;physical classes;online lessons;online interactions;media industry;design team formation;media students;online collaborative environments;collaborative design projects;teamwork experiences;character assigned teams;random characters;chosen game characters;higher education lecturers;teamwork quality;student motivation;online team projects;design industry;gamified learning intervention","","","","25","IEEE","21 Oct 2021","","","IEEE","IEEE Conferences"
"An Education Model for Game Development by A Swedish-Japanese Industry-Academia Alliance","Y. Sato; H. Hanaoka; H. Engström; S. Kurabayashi","Cygames Research Cygames, Inc.,Shibuya, Tokyo,Japan; Cygames Research Cygames, Inc.,Shibuya, Tokyo,Japan; School of Informatics University of Skövde,Skövde,Sweden; Cygames Research Cygames, Inc.,Shibuya, Tokyo,Japan","2020 IEEE Conference on Games (CoG)","20 Oct 2020","2020","","","328","335","This paper presents and evaluates a new educational tool and a model for learning theory and practice of game development, by involving geographically separated and culturally different industrial and academic organizations. We propose a TRIAD education model, which is as an extension to the conventional project-based learning, by uniting industry staff, faculty members, and students in an online discussion space. This model is a two-phase cyclic model where in Phase-1) industry members and academic staff discuss the progress of PBL transparently, showing the cross-cultural gaps and advising how to solve them, and in Phase-2) students make progress on the projects. Additionally, the TRIAD model adopts asynchronous text messaging as a core communication method, which is suitable for a multi-timezone situation, as well as exchanges of self-reviews from students and feedback from instructors. The online space not only facilitates interns in overcoming the hurdles represented by the gaps between the industry and academia, but it also visualizes the students' implicit educational progress by periodically analyzing all stored data by applying quantitative text analysis methods. This paper shows the result of an empirical study by utilizing this TRIAD model and analytics tool conducted at a large-scale Japanese game company with over 2,000 employees focusing on two students from the division of game development at a university in Sweden. We applied a quantitative text analysis tool for this model during an on-going internship program to clarify how students change their thoughts and behaviors by acquiring cross-cultural professionalism in the game industry. In addition, the result indicates that this TRIAD model is resilient, even under the COVID-19 epidemic situation due to its text-based approach.","2325-4289","978-1-7281-4533-4","10.1109/CoG47356.2020.9231558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9231558","game development education;industry-academia alliance;project-based learning;distance education;natural language processing;evidence-based education","Games;Industries;Education;Tools;Collaboration;Companies;Analytical models","computer aided instruction;computer games;educational institutions;groupware;personnel;software engineering;text analysis","Sweden;internship program;COVID-19 epidemic;project-based learning;students educational progress;game industry;cross-cultural professionalism;quantitative text analysis tool;large-scale Japanese game company;quantitative text analysis methods;TRIAD model;academic staff;two-phase cyclic model;online discussion space;faculty members;industry staff;TRIAD education model;academic organizations;industrial organizations;educational tool;swedish-Japanese industry-academia alliance;game development","","1","","31","","20 Oct 2020","","","IEEE","IEEE Conferences"
"Improvement of Learning Outcomes in Software Engineering: Active Methodologies Supported Through the Virtual Campus","A. García-Holgado; A. Vázquez-Ingelmo; F. J. García-Peñalvo; M. R. Conde","Computer Science Department, GRIAL Research Group, University of Salamanca, Salamanca, Spain; GRIAL Research Group, University of Salamanca, Salamanca, Spain; GRIAL Research Group, University of Salamanca, Salamanca, Spain; GRIAL Research Group, University of Salamanca, Salamanca, Spain","IEEE Revista Iberoamericana de Tecnologias del Aprendizaje","4 Aug 2021","2021","16","2","143","153","There are some subjects that are seen as a challenge by both students and teachers. One of these subjects is Software Engineering, where the novelty of its concepts and the need of applying abstract thinking need major efforts to understand new paradigms of design and development of information systems. Due to these difficulties, students face the subject with low motivation. The present work describes a series of teaching methodology changes carried out during the last three academic years, specially the implementation carried out during the 2017-18 year. The analysis of the results shows a high correlation between the students' participation and the success ratio of the subject by comparing the results obtained by students studying the active methodology in 2017-18 and the results for the academic year 2013-14.","1932-8540","","10.1109/RITA.2021.3089926","University of Salamanca through the innovation and improvement projects “Implementation of an Active Methodology in Software Engineering I”(grant numbers:ID2017/009); Actions in favour of diversity in the technological field, pilot experience in a subject of the Degree in Computer Science(grant numbers:ID2018/076); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9459713","Active methodology;collaborative learning;virtual campus;software engineering;PBL;technological ecosystem","Software engineering;Collaborative work;Software;Education;Conferences;Proposals;Computational modeling","computer science education;educational institutions;information systems;software engineering;teaching","software engineering;virtual campus;abstract thinking;information systems;active methodology;teaching methodology changes","","3","","43","IEEE","18 Jun 2021","","","IEEE","IEEE Journals"
"Reforming Assessment: Challenges Beyond Design","L. Tubino; J. -G. Schneider; A. Cain; D. Thiruvady; C. Ranaweera","Deakin University, Victoria; Deakin University, Victoria; Deakin University, Victoria; Deakin University, Victoria; Deakin University, Victoria","2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","7 May 2021","2021","","","78","88","Promoting evidence-based assessment practices at scale across different disciplines is a challenge. Feedback, although powerful for affecting change in students is not always adequately implemented. An assessment framework based on strong formative feedback and other evidence-based educational practices was designed to give capstone project students an authentic learning experience, and was deployed across all our Software Engineering capstone project units involving more than 700 students and app. 30 academic staff members per teaching period. The scale of our setting raised the question about consistent and faithful implementation of the framework and its guiding principles, essential for achieving the assessment framework outcomes and equitability for students. In this study, we explore the challenges of implementing assessment practice at scale and report on our findings and support strategies in order to facilitate consistent engagement of teaching staff. The findings of our study form the building blocks of a decision-making framework to guide the implementation of ongoing pedagogical innovations at scale.","","978-1-6654-0138-8","10.1109/ICSE-SEET52601.2021.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402179","Formative Feedback;Teaching Evaluation;Fidelity of Implementation;Team Project-based Assessment and Framework","Training;Technological innovation;Decision making;Software engineering","computer aided instruction;computer science education;educational administrative data processing;educational courses;educational institutions;software engineering;teaching;user experience","teaching staff;decision-making framework;reforming assessment;formative feedback;evidence-based educational practices;authentic learning experience;evidence-based assessment practices;software engineering capstone project units","","","","28","","7 May 2021","","","IEEE","IEEE Conferences"
"On Designing Experiment Teaching for Undergraduates’ Effective Learning of Logistics Distribution Center Planning and Management Course Based on PBL and BOPPPS","Y. Sun","Shandong University of Finance and Economics,School of Management Science and Engineering,Jinan,Shandong Province,China,250014","2020 International Conference on Information Science and Education (ICISE-IE)","6 May 2021","2020","","","612","616","The experiment teaching plays an essential role in the undergraduates' effective learning of the logistics distribution center planning and management course. In this study, according to the characteristics of the course, the author proposes an experiment teaching design based on PBL and BOPPPS. In this design, considering the close connection between the contents of the course and various logistics planning problems, PBL is used to establish the framework of the experiment teaching of the logistics distribution center planning and management course. Then, to realize the PBL based experiment teaching framework, BOPPPS that carries out the PBL in a precise way is employed to design the specific teaching procedure for the experiment. The integration of PBL and BOPPPS provides a helpful design thinking to improve the effectiveness of the undergraduates' learning of the logistics distribution center planning and management course. It can also be applied in the course teaching of different specialties in the undergraduate education.","","978-1-6654-2261-1","10.1109/ICISE51755.2020.00137","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9418953","logistics management;experiment teaching;logistics distribution center planning and management course;PBL;BOPPPS","Information science;Education;Planning;Logistics","computer aided instruction;computer science education;educational courses;further education;goods distribution;logistics;teaching","designing experiment teaching;undergraduates;logistics distribution center planning;management course;BOPPPS;experiment teaching design;logistics planning problems;PBL based experiment teaching framework;specific teaching procedure;course teaching","","","","15","","6 May 2021","","","IEEE","IEEE Conferences"
"Design and Supervision Model of Group Projects for Active Learning","Y. M. Lau; K. J. Shim; S. Gottipati","School of Computing and Information Systems, Singapore Management University,Singapore; School of Computing and Information Systems, Singapore Management University,Singapore; School of Computing and Information Systems, Singapore Management University,Singapore","2021 IEEE Frontiers in Education Conference (FIE)","20 Dec 2021","2021","","","1","9","This research paper presents a group project framework for a second-year programming course, which was conducted during the COVID-19 pandemic. The framework offers well defined stages of the group project which allow students to work on their choice of a real-world problem, integrate their learnings from previous courses, and present a working solution. In the group project, students actively participate, reflect, and contribute to achieving the goals set in the learning objectives of the course. Our framework incorporates key features from Kolb's Experiential Learning Theory (1984) and principles of active learning from Barnes (1989) to achieve active and experiential learning through active supervision. The use of group projects as a teaching pedagogy is widely adopted in many universities. Students work together, develop a plan, and demonstrate their abilities in building on existing knowledge acquired from previous courses, and apply them appropriately for problem solving. Prior to the pandemic, it was the norm for students to work on their group projects together by meeting physically on campus. Key benefits of working together physically are having the support of one another and the ease of communication. With the onset of the pandemic, safe distancing measures, and restrictions put in place have made it challenging for students to work on group projects together. During the pandemic, many courses were forced to move online with limited face-to-face learning opportunities on campus. This posed great challenges to the faculty in terms of effective supervision of students and their project progress. To mitigate the challenges, we devised a flexible strategy that makes use of both technology-based and non-technological means for monitoring students' group project milestones. The faculty receives continuous updates from students as they work towards each milestone. These milestones serve as important checkpoints for students. Continuous checks at different milestones help the faculty adopt appropriate intervention measures as issues arise. The group project learning framework consists of three main stages, namely Group Formation, Scoping of the Project, and Group Solutioning. The framework is overlaid with Kolb's Experiential Learning Theory concepts to describe the learnings, milestones, and deliverables of each stage. Each of these stages adopts Barnes's principles of active learning to enable active participation, reflection, and contribution by students. We evaluated the success of this framework through a comprehensive student survey analysis. The survey asked specific questions to students on all stages of the group project and the overarching component of teamwork and working online. We also present our findings and lessons learned for improvements of the framework. We believe that our framework will be valuable to educators in computing programs that wish to adopt effective supervision measures for group projects.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637162","COVID-19;group-based learning;experiential learning;active learning","Industries;COVID-19;Systematics;Pandemics;Education;Programming;Reflection","computer aided instruction;computer science education;educational courses;educational institutions;learning (artificial intelligence);problem solving;teaching","active learning;group project framework;learnings;experiential learning;students","","","","34","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"A Transactive Memory System Perspective in Software Engineering Education","G. M. Kapitsaki; S. Loizou Kleanthous; G. A. Papadopoulos","Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Faculty of Pure and Applied Sciences, Open University of Cyprus, Latsia, Cyprus; Department of Computer Science, University of Cyprus, Nicosia, Cyprus","IEEE Transactions on Education","3 Aug 2020","2020","63","3","190","197","Contribution: Results and conclusions on the use of transactive memory system (TMS) in software engineering (SE) education in student project teams that consist of undergraduate and postgraduate students are documented. This can be valuable for the adoption of this learning approach and team formation by other universities and institutes. Background: Preparing students for the SE industry requires bringing them in close collaboration to real-world tasks. This is usually performed via students carrying out software projects, working in teams. In such environments, the knowledge sharing and the interactions within the team are worth investigating, as they can affect the outcome of the student collaboration and can provide insight on how the collaboration is valued by the team members. Research Questions: 1) What is the effect of TMS on students in SE education? 2) Do parameters, such as gender, affect TMS development? 3) Does the inclusion of a project manager with more expertise affect TMS? Methodology: Students were divided into teams working on SE projects. Teams consist of both undergraduate and postgraduate students. Data from students on TMS for consecutive academic years were gathered. Findings: TMS is present in student teams and some of its scale items are affected by parameters, such as the team composition and the project type. TMS also affects performance.","1557-9638","","10.1109/TE.2020.2970546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007353","Project management;software engineering (SE) education;transactive memory system (TMS)","Software;Project management;Education;Collaboration;Task analysis;Industries;Software engineering","computer aided instruction;computer science education;educational courses;further education;project management;software engineering;team working","transactive memory system;software engineering education;student project teams;undergraduate students;postgraduate students;SE industry;software projects;student collaboration;team members;SE education;TMS development;project manager;SE projects;team composition;learning approach","","1","","29","IEEE","24 Feb 2020","","","IEEE","IEEE Journals"
"Flying Robot Production Program for Comprehensive Understanding of Mechanical and Aerospace Engineering","S. Hara","Nagoya University,Department of Aerospace Engineering,Nagoya,Japan","2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","8 Mar 2021","2020","","","610","613","Experience-based learning programs are very important in universities' mechanical and aerospace engineering departments to understand the relationship between classroom lectures on traditional theories, such as material mechanics, fluid dynamics, dynamics of machinery, and control engineering, and real mechanical systems phenomena. Generally, the real phenomena are defined by interactions of multiple theories. Meanwhile, the use of recent digital manufacturing technologies, such as 3D printers, CAD/CAM, and CAE should be leveraged for more recent educational content and methods. In these circumstances, the Department of Mechanical and Aerospace Engineering at Nagoya University introduced a flying robot production program to help provide a comprehensive understanding of mechanical and aerospace engineering. This paper reports the first year results of the novel program and shares the questionnaire survey that was used to assess the results.","2470-6698","978-1-7281-6942-2","10.1109/TALE48869.2020.9368371","Nagoya University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368371","experience-based learning;flying robot;integrated engineering;project-based learning;questionnaire survey","Three-dimensional displays;Service robots;Fluid dynamics;Production;Printers;Optimization;Aerospace engineering","aerospace engineering;aerospace robotics;computer aided instruction;control engineering education;mechanical engineering computing;production engineering computing","universities;aerospace engineering;classroom lectures;mechanical systems phenomena;digital manufacturing technologies;flying robot production program;experience-based learning programs;educational content","","","","8","","8 Mar 2021","","","IEEE","IEEE Conferences"
"Towards an Evaluation Process around Active Learning based Methods","C. Şerban; A. Vescan","Babeş-Bolyai University,Faculty of Mathematics and Computer Science,Cluj-Napoca,România; Babeş-Bolyai University,Faculty of Mathematics and Computer Science,Cluj-Napoca,România","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","7","This Research to Practice Full Paper proposes a novel incremental approach in teaching a Software Engineering related course, underpinned by active-learning methods. Teaching a Software Engineering related course for undergraduate students is a challenging task due to extremely frequent changes that appeared in programming paradigms and in software process development methodologies. In this everchanging domain, which presents us with opportunities and challenges every single day, it might be difficult and almost impossible for teachers to predict what are those knowledge that will be of use to students, on the long term, maybe even for five years from now. This rapid growth in the software development evolution has led to a gap between how teachers do knowledge transfer to students and how students acquire these knowledge. To bridge this gap there is a need to change how we teach these subjects. Thus, the new theory of education suggests that learner should be in the center of the learning process and the instructors playing an advising and facilitating role. A shift in education theory to a more student-centered approach using active learning is recommended because this approach has its own role to make the students creative and competent in their study. In this respect, active learning's main drive is to put the responsibility of learning at the hands of the learners themselves and to delegate the role of facilitator to the teacher. In this paper we provide novel approaches in teaching an undergraduate Software Engineering related course at the Babeş-Bolyai University. Its contribution is threefold: firstly, we introduce a new learning process design which selects active learning methods intertwining in teaching this course; secondly, we aim to study the impact of applying active learning methods on students' grades over the three academic years. Thirdly, we investigate students perceptions, their feedback and learning experiences on the use of applying active learning methods. Also, the paper reviews challenges and constraints that we faced while trying to teach this course. The analysis results show the effectiveness of our approach. Also, our students have expressed a high level of satisfaction, and in a survey, they indicated that the skills they learned in the course are highly applicable to their careers, facilitating their interviews for the engagement within IT companies.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9273935","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9273935","Project-based learning;formative assessment;summative assessment;multiple choice exam;student experience","Education;Learning systems;C# languages;Programming;Seminars;Process design;Java","computer aided instruction;computer science education;educational courses;educational institutions;software engineering;teaching","learning process design;active learning methods;students perceptions;feedback;learning experiences;active-learning methods;undergraduate students;software process development methodologies;software development evolution;student-centered approach;undergraduate software engineering","","","","24","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Comparative Case Study of Plan-Driven and Agile Approaches in Student Computing Projects","R. Włodarski; A. Poniszewska-Marańda; J. -R. Falleri","Institute of Information Technology Lodz University of Technology,Lodz,Poland; Institute of Information Technology Lodz University of Technology,Lodz,Poland; University of Bordeaux,LaBRI, ENSEIRB-MATMECA Bordeaux INP,Bordeaux,Talence,France","2020 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","28 Oct 2020","2020","","","1","6","Plan first, execute second” and “Adapt to change as you iterate” are two paradigms that are well known in software development, as they represent disparate schools of project management: traditional and agile. Despite a long-lasting debate on prominence of each, little comparative research has been reported, particularly in the context of academic projects, where all too often a no-process approach still prevails. This paper presents an experiment that was carried out during the Spring semester of the 2018-2019 academic year at two engineering schools in Europe in order to assess the impacts of a given development method on the success of student computing undertakings. A structured, metric-based assessment scheme was applied to reveal patterns associated with the use of Plan-driven, Iterative and no-process approaches on product quality, team productivity and teamwork quality facets.","1847-358X","978-953-290-099-6","10.23919/SoftCOM50211.2020.9238196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238196","software engineering;agile;software process;education;comparative study;capstone project","Productivity;Quality assurance;Europe;Software;Product design;Telecommunications;Teamwork","computer science education;educational computing;educational courses;educational institutions;engineering education;project management;software prototyping;team working","teamwork quality facets;team productivity;product quality;agile approach;academic project context;project management;software development;student computing projects;plan-driven approach;metric-based assessment scheme;structured based assessment scheme;engineering schools","","2","","28","","28 Oct 2020","","","IEEE","IEEE Conferences"
"Utilizing a Data analytics project to increase student awareness of contemporary global issues","R. Ravikumar; P. Sadhwani","Computer and Information Science, Dubai Women's College, Higher Colleges of Technology,Dubai,U.A.E.; Dubai Women's College Higher Colleges of Technology,General Studies Department,Dubai,U.A.E.","2020 Advances in Science and Engineering Technology International Conferences (ASET)","16 Jun 2020","2020","","","1","5","Computational thinking is irrefutably a must-have skill in today's digital world. This is why it is a requisite course in most college curricula. Computational thinking is a broad term encompassing fundamental concepts of computing such as formulating problems and expressing their solutions in computational steps that can be processed by a computer. The ability to organize and analyze data is also a part of computational thinking. Following this paradigm, educational institutions have adopted various methods to teach computational thinking including programming. This paper will explore a specific project within the computational thinking course taught as an introductory course in all major programs at the Higher Colleges of Technology in the United Arab Emirates. The intention of the paper is to demonstrate how a project-based data analytics assessment in such a course can be used to foster in students, a greater awareness of a contemporary and critical global issue such as waste management. To examine the effectiveness of this project, the paper documents and evaluates the work of a group of students who carried out data analysis on secondary data collected from a notable website on “waste management”. The methodology implemented for this task is developed based on a prescribed course syllabus and assessment structure which promotes student-centered and inter-disciplinary learning.","","978-1-7281-4640-9","10.1109/ASET48392.2020.9118395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9118395","inter-disciplinary learning;cross-curricular;project-based learning;data analytics;coding;computer programming;global issues;waste management;computational thinking;engineering;digital;Python;academic;curriculum","Waste management;Data analysis;Collaborative work;Encoding;Task analysis;Programming profession;Creativity","computer aided instruction;computer science education;data analysis;educational courses;teaching;waste management","student awareness;interdisciplinary learning;student-centered learning;waste management;United Arab Emirates;Higher Colleges of Technology;project-based data analytics assessment;computational thinking course;contemporary global issues","","","","17","","16 Jun 2020","","","IEEE","IEEE Conferences"
"Use of a Cornerstone Project to Teach Ill-Structured Software Design in First Year","C. C. W. Hulls; C. Rennick","Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada; Engineering Ideas Clinic, University of Waterloo, Waterloo, ON, Canada","IEEE Transactions on Education","5 May 2020","2020","63","2","98","107","Contribution: A first-year programming course was redesigned with a large, open-ended robotics project. The course design aligns with best practices for promoting development of students' self-efficacy in solving ill-structured software design problems. Background: From Jonassen's theory, problem-solving outcomes are dependent on the problem structure, complexity, and representation; and the characteristics of the solver. These characteristics are diverse, including knowledge, familiarity, and psychometric qualities of the solver (e.g., self-efficacy and motivation). Thus, better problem-solving outcomes are dependent on the development of these traits, and on the problem characteristics. Intended Outcomes: Pre-2010, course learning activities and assessments overly focused on syntax. The course was redesigned with a focus on ill-structured problem solving and design in high-fidelity problem domains. Application Design: Complex and ill-structured lecture examples, assignments, and exams were redesigned to reinforce the importance of software design and problem solving. An open-ended cornerstone project using robotics was added as a structured means of providing students practice with solving ill-structured and open-ended problems. The assignment and exam questions, with the course cornerstone project, achieve instructional alignment in the course. Findings: The results show that students' self-efficacy improved from start to end of term. The course design achieves several objectives: 1) students learned the requisite programming skills; 2) students developed their self-efficacy in programming and design; and 3) students demonstrated strong problem-solving outcomes.","1557-9638","","10.1109/TE.2019.2959591","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8957041","Computing skills;design projects;instructional design;project-based learning;team-based learning","Problem-solving;Programming profession;Software design;Task analysis;Robots;Complexity theory","computer aided instruction;computer science education;educational courses;human factors;teaching","open-ended robotics project;first-year programming course;strong problem-solving outcomes;course cornerstone project;open-ended problems;structured means;application design;high-fidelity problem;course learning activities;problem characteristics;problem structure;ill-structured software design problems;self-efficacy","","","","33","IEEE","13 Jan 2020","","","IEEE","IEEE Journals"
"A Systematic Course Design Approach to Guide the Development of a Construction Engineering and Management Capstone Course","N. Lee; S. J. Kim","Central Connecticut State University,Manufacturing and Construction Management,New Britain,CT; Minnesota State University,Department of Construction Management,Mankato, Mankato,MN","2020 Annual Conference Northeast Section (ASEE-NE)","18 Dec 2020","2020","","","1","5","A Senior Capstone course is a hallmark of most undergraduate construction engineering and management (CEM) programs. Many undergraduate CEM programs implement their own capstone course within their curricula to emphasize preparing students for the realities of the construction industry. As in many other professional domains, CEM programs in the United States have demonstrated limited success producing graduates who possess the requisite problem-solving and critical thinking skills. To address this shortcoming, the authors propose developing a new Senior Capstone course using the project-based learning approach. The Central Connecticut State University (CCSU) Construction Management (CM) program is in the process of developing a Senior Capstone course, following the ADDIE (Analyze, Design, Develop, Implement, Evaluate) approach which is one of the proven instructional design approaches. One of the main objectives of this study is to demonstrate the use of a systematic approach to develop a Senior Capstone course, which is designed for construction engineering and management programs. However, since this course is still in development, this paper only presents the extent of what the authors have completed for a Senior Capstone course development. The authors believe that this course, after being fully developed, will not only provide students with the opportunity to build and demonstrate problem-solving and critical thinking skills but also help them transition from the classroom to the workforce.","","978-1-6654-0525-6","10.1109/ASEENE51624.2020.9292652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9292652","Senior Capstone;Course Design;Systematic Approach","Systematics;Problem-solving;Object recognition;Seminars;Leadership;Job shop scheduling;Companies","computer aided instruction;construction industry;educational courses;educational institutions;management education;structural engineering computing","analyze design develop implement evaluate;ADDIE;CCSU;systematic course design approach;management capstone course;central connecticut state university construction management;senior capstone course development;proven instructional design approaches;undergraduate CEM programs;management programs;undergraduate construction engineering","","","","17","","18 Dec 2020","","","IEEE","IEEE Conferences"
"Agile Iteration Reviews in a Project Course: A key to Improved Feedback and Assessment Practice","T. Dingsøyr","Norwegian University of Science and Technology,Department of Computer Science,Trondheim","2021 Third International Workshop on Software Engineering Education for the Next Generation (SEENG)","8 Jul 2021","2021","","","21","25","Agile development is increasingly taught at universities worldwide. Project courses are redesigned in order to better fit these methods, both with respect to content taught and how courses are organised. This position paper builds on experience with reviews as a feedback practice in a bachelor level project course. Reviews are a key element in agile development, but there has been little discussion in the software engineering education literature on the role of such reviews in improving feedback and assessment. Through examples of course improvement work in a course with about 140 students in 24 teams, we show how review practices are tailored to better comply with principles of good feedback practice which intend to empower students and help self-regulate learning. We argue that reviews can provide formative assessment and improve the learning outcome. Finally, we conclude with five lessons learned from three years of continuous improvement.","","978-1-6654-3196-5","10.1109/SEENG53126.2021.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474641","software engineering education;capstone course;agile software development;Scrum;self-regulated learning.","Conferences;Education;Software;Continuous improvement;Next generation networking;Software engineering","computer aided instruction;computer science education;educational courses;educational institutions;engineering education;software engineering;teaching","agile iteration reviews;improved feedback;assessment practice;agile development;courses;bachelor level project course;software engineering education literature;course improvement work;review practices;good feedback practice;formative assessment;continuous improvement","","1","","14","","8 Jul 2021","","","IEEE","IEEE Conferences"
